tick,S,K,C,r,T,ref_iv,fpga_iv,iv_err_bps,ref_delta,fpga_delta,ref_vega,fpga_vega,ref_gamma,fpga_gamma,latency_cyc
1374,50.184356,38.041760,16.602786,0.033609,0.968002,0.492370,0.492447,453.2554,0.810900,0.809865,13.359535,13.404560,0.011130,0.011165,1519
1375,46.080689,38.476810,8.621489,0.050751,0.367548,0.256235,0.262822,0.2294,0.912870,0.907288,4.428451,4.648756,0.022144,0.022742,552
1376,66.034004,55.740697,16.155305,0.038619,0.550361,0.527278,0.527283,0.9681,0.752739,0.752396,15.476225,15.487332,0.012230,0.012239,391
1377,75.903885,64.124385,15.609177,0.025976,0.601507,0.353994,0.354605,0.7702,0.790583,0.806077,16.938329,16.176020,0.013807,0.013164,713
1378,47.634953,63.379835,3.821888,0.035343,1.402008,0.346695,0.346724,94.2082,0.355799,0.357590,21.015036,21.051846,0.019054,0.019085,874
1379,73.774175,93.301865,0.037344,0.032802,0.105119,0.318710,0.716220,6.1150,0.014351,0.050731,0.872012,2.794011,0.004782,0.010475,713
1380,33.782977,28.367570,5.654553,0.045735,0.152898,0.255004,0.314488,0.2798,0.969406,0.937285,0.913555,1.651034,0.020530,0.030686,553
1381,23.140831,19.940119,5.867358,0.054060,1.222680,0.343226,0.343314,0.0483,0.775225,0.774894,7.669800,7.676046,0.034130,0.034128,716
1382,44.964240,62.252882,0.092975,0.028614,0.380791,0.266747,0.325559,3565.0866,0.033776,0.095679,2.082199,4.724147,0.010139,0.017265,1518
1383,30.365439,29.319529,5.779531,0.044614,1.375168,0.314779,0.314820,8.0820,0.672103,0.672075,12.862528,12.862743,0.032226,0.032217,874
1384,76.064648,55.825744,21.881322,0.042636,0.394387,0.396221,0.411184,0.2909,0.924387,0.920134,6.804019,7.125972,0.007526,0.007579,713
1385,22.373450,21.973573,4.256458,0.047923,1.008816,0.405256,0.405373,2.4339,0.643041,0.643021,8.382343,8.382387,0.040960,0.040967,391
1386,39.233793,30.032060,12.051226,0.025150,0.697957,0.529049,0.529117,5.2284,0.806595,0.805548,8.991946,9.021572,0.015820,0.015867,391
1387,48.510252,44.730402,8.779015,0.039918,1.172826,0.274014,0.274037,1141.4031,0.718877,0.718804,17.718858,17.720717,0.023430,0.023430,1518
1388,68.718065,89.814957,4.690414,0.021879,1.042211,0.376529,0.381192,0.9723,0.328157,0.276407,25.348775,23.466514,0.013679,0.012505,230
1389,65.797695,52.345495,14.667837,0.055300,0.420139,0.158049,0.286433,0.9271,0.993974,0.949011,0.727908,4.650910,0.002532,0.010944,552
1390,65.163628,67.225490,10.061935,0.020284,0.725481,0.477759,0.477872,4.0187,0.564771,0.563735,21.850103,21.859290,0.014846,0.014850,552
1391,41.589494,44.855764,8.526149,0.048105,1.048221,0.532392,0.532503,0.4820,0.589533,0.589531,16.557522,16.557402,0.017153,0.017154,552
1392,51.880397,50.832604,8.733505,0.045684,1.435185,0.269260,0.269313,0.6829,0.665600,0.665546,22.627018,22.628081,0.021754,0.021734,714
1393,27.587855,35.582488,0.877359,0.046419,0.607054,0.338327,0.338604,46.6345,0.233710,0.236241,6.585256,6.624437,0.042128,0.042249,713
1394,31.935787,35.805785,0.789754,0.036534,0.184956,0.368646,0.368674,0.1569,0.274396,0.274803,4.577840,4.581089,0.065830,0.065843,552
1395,46.162818,56.506545,1.214919,0.050850,1.259095,0.165525,0.165587,0.2984,0.257532,0.258926,16.719060,16.765531,0.037645,0.037723,552
1396,31.647726,34.041094,7.226193,0.053398,1.408751,0.487014,0.487155,65.8667,0.615254,0.615280,14.355651,14.355202,0.020891,0.020886,874
1397,38.192492,38.215924,2.519366,0.026295,0.758988,0.162427,0.162427,0.9826,0.582173,0.582152,12.991525,12.991568,0.072245,0.072238,393
1398,76.814174,66.713019,16.064367,0.023335,0.435928,0.521403,0.522014,0.6177,0.729475,0.745278,16.785483,16.275900,0.012516,0.012121,715
1399,54.784227,63.929128,7.863339,0.033825,1.376208,0.398603,0.398696,1.0691,0.501285,0.501569,25.639251,25.639238,0.015573,0.015569,394
1400,22.327967,18.548753,5.745958,0.050671,1.263744,0.290257,0.290446,0.2828,0.823220,0.822650,6.511841,6.525285,0.035609,0.035658,552
1401,42.608638,45.739866,0.315579,0.029650,0.100337,0.233293,0.233578,6.1126,0.188779,0.189237,3.648049,3.653509,0.085842,0.085865,713
1402,35.028977,44.281324,0.972370,0.027661,0.491543,0.351705,0.352107,1.8916,0.220022,0.221957,7.272148,7.308543,0.034282,0.034381,713
1403,71.938702,62.510761,11.776478,0.034256,0.209951,0.449061,0.449408,2.8473,0.794048,0.803318,9.391328,9.135569,0.019248,0.018719,713
1404,53.041433,67.455726,6.616938,0.051706,1.443429,0.391521,0.391569,3.4735,0.453348,0.454372,25.248753,25.256234,0.015880,0.015883,714
1405,49.600495,36.111559,15.678111,0.035339,1.478051,0.210891,0.224482,0.0729,0.941772,0.928021,7.016402,8.333109,0.009149,0.010182,552
1406,60.002531,53.942384,11.818686,0.043471,0.920090,0.328292,0.328308,3.7100,0.733217,0.733092,18.916012,18.920065,0.017394,0.017397,553
